Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
GB,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
X360,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
3DS,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
PS4,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
PS3,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
X360,Shooter,Activision,8.25,4.3,0.07,1.12,13.73
X360,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
PS3,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
PS2,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
Wii,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
PS3,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
DS,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
3DS,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
X360,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
PS4,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
DS,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
N64,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
PS2,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
Wii,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
3DS,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
GB,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
X360,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
PS,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
3DS,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
PS3,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
PS3,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
PS3,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
SNES,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
GBA,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
DS,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42
Wii,Misc,Ubisoft,6.05,3.15,0,1.07,10.26
X360,Shooter,Activision,6.72,2.63,0.04,0.82,10.21
X360,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
N64,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
3DS,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
X360,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
PS,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
PS3,Shooter,Activision,4.09,3.73,0.38,1.38,9.59
Wii,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
PS,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
X360,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
SNES,Platform,Nintendo,4.36,1.71,3,0.23,9.3
X360,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
3DS,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
DS,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02
X360,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
SNES,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
PS4,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
Wii,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
XB,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
Wii,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
DS,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
PS3,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
PC,Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11
N64,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
Wii,Sports,Sega,2.58,3.9,0.66,0.91,8.06
PS2,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
PS,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
DS,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
2600,Puzzle,Atari,7.28,0.45,0,0.08,7.81
PSP,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
Wii,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
PS4,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
PS4,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
N64,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
PS,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
NES,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
3DS,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
X360,Shooter,Activision,4.79,1.9,0,0.69,7.37
X360,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34
Wii,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
XOne,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
Wii,Misc,Ubisoft,3.51,3.03,0,0.73,7.27
PS3,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23
PS2,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
PS,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
PS,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
GC,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
WiiU,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
PS4,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
GC,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
Wii,Misc,Ubisoft,4.14,2.21,0,0.56,6.91
PS3,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9
PS2,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
PS2,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
PS3,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
PS,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
Wii,Sports,505 Games,3.5,2.64,0,0.67,6.81
X360,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
PS3,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73
PS3,Shooter,Activision,3.1,2.3,0.28,1.04,6.72
PS3,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
DS,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67
PS3,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
PS4,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
Wii,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
PS3,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
NES,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
PS3,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
XB,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
GBA,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
PS2,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
GB,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
X360,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
X360,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
GC,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
SNES,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
PC,Role-Playing,Activision,0.07,6.21,0,0,6.28
PS,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
X360,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
X360,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
X360,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
PS2,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
GEN,Platform,Sega,4.47,1.2,0.16,0.19,6.03
PS3,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
PS,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
PS3,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
PS2,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95
PS3,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
DS,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84
Wii,Action,LucasArts,3.66,1.63,0,0.53,5.83
PS,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
